DATAFLOW,LAST UPDATE,freq,unit,sex,age,icd10,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Bulgaria,2013,18.87,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Bulgaria,2014,20.16,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Bulgaria,2015,22.92,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Bulgaria,2016,19.84,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Bulgaria,2017,19.39,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Bulgaria,2018,20.85,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Bulgaria,2019,18.47,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Bulgaria,2020,20.95,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Bulgaria,2021,22.03,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Switzerland,2011,14.51,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Switzerland,2012,14.02,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Switzerland,2013,14.96,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Switzerland,2014,13.29,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Switzerland,2015,14.08,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Switzerland,2016,14.07,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Switzerland,2017,11.69,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Switzerland,2018,11.19,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Switzerland,2019,10.26,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Switzerland,2020,8.75,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Switzerland,2021,9.63,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Cyprus,2011,68.15,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Cyprus,2012,62.23,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Cyprus,2013,64.86,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Cyprus,2014,66.04,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Cyprus,2015,59.49,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Cyprus,2016,41.61,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Cyprus,2017,53.95,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Cyprus,2018,52.31,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Cyprus,2019,51.22,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Cyprus,2020,50.74,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Cyprus,2021,63.17,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Czechia,2011,26.76,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Czechia,2012,23.73,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Czechia,2013,40.19,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Czechia,2014,36.88,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Czechia,2015,38.16,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Czechia,2016,38.26,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Czechia,2017,35.93,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Czechia,2018,41.33,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Czechia,2019,39.36,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Czechia,2020,45.83,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Czechia,2021,43.55,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Germany,2011,26.22,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Germany,2012,26.35,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Germany,2013,25.61,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Germany,2014,23.16,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Germany,2015,24.13,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Germany,2016,22.01,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Germany,2017,23.13,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Germany,2018,22.45,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Germany,2019,20.95,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Germany,2020,22.31,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Germany,2021,21.85,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Denmark,2011,21.43,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Denmark,2012,20.27,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Denmark,2013,20.69,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Denmark,2014,19.09,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Denmark,2015,20.65,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Denmark,2016,19.16,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Denmark,2017,18.57,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Denmark,2018,19.9,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Denmark,2019,18.18,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Denmark,2020,16.48,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Denmark,2021,18.07,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Estonia,2011,12.86,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Estonia,2012,8.93,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Estonia,2013,10.13,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Estonia,2014,11.58,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Estonia,2015,9.56,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Estonia,2016,10.82,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Estonia,2017,11.97,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Estonia,2018,15.19,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Estonia,2019,15.68,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Estonia,2020,22.64,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Estonia,2021,22.93,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Greece,2011,8.04,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Greece,2012,8.33,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Greece,2013,10.32,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Greece,2014,11.68,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Greece,2015,12.45,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Greece,2016,12.19,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Greece,2017,15.08,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Greece,2018,14.72,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Greece,2019,15.92,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Greece,2020,15.7,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Greece,2021,16.98,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Spain,2011,21.06,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Spain,2012,20.02,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Spain,2013,18.29,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Spain,2014,18.12,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Spain,2015,18.33,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Spain,2016,16.34,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Spain,2017,16.54,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Spain,2018,16.28,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Spain,2019,15.31,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Spain,2020,17.52,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Spain,2021,16.34,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,European Union - 27 countries (from 2020),2011,22.62,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,European Union - 27 countries (from 2020),2012,22.55,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,European Union - 27 countries (from 2020),2013,21.79,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,European Union - 27 countries (from 2020),2014,20.58,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,European Union - 27 countries (from 2020),2015,21.72,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,European Union - 27 countries (from 2020),2016,20.35,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,European Union - 27 countries (from 2020),2017,20.83,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,European Union - 27 countries (from 2020),2018,20.38,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,European Union - 27 countries (from 2020),2019,19.81,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,European Union - 27 countries (from 2020),2020,22.32,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,European Union - 27 countries (from 2020),2021,21.67,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Finland,2011,6.86,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Finland,2012,6.82,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Finland,2013,7.01,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Finland,2014,6.94,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Finland,2015,7.15,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Finland,2016,7.18,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Finland,2017,7.04,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Finland,2018,6.75,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Finland,2019,8,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Finland,2020,7.93,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Finland,2021,7.69,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,France,2011,14.4,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,France,2012,14.5,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,France,2013,14.23,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,France,2014,13.55,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,France,2015,14.09,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,France,2016,13.16,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,France,2017,12.87,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,France,2018,12.14,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,France,2019,11.69,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,France,2020,12.44,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,France,2021,12.26,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Croatia,2011,28.22,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Croatia,2012,31.05,d
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Croatia,2013,28.29,d
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Croatia,2014,32.31,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Croatia,2015,38.91,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Croatia,2016,44.21,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Croatia,2017,54.39,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Croatia,2018,63.92,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Croatia,2019,86.56,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Croatia,2020,103.79,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Croatia,2021,104.02,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Hungary,2011,30.14,d
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Hungary,2012,29.61,d
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Hungary,2013,26.18,d
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Hungary,2014,25.88,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Hungary,2015,27.34,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Hungary,2016,26.36,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Hungary,2017,29.72,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Hungary,2018,28.82,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Hungary,2019,28.74,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Hungary,2020,34.23,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Hungary,2021,35.64,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Ireland,2011,13.83,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Ireland,2012,15.45,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Ireland,2013,15.43,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Ireland,2014,12.68,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Ireland,2015,13.87,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Ireland,2016,12.29,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Ireland,2017,13.25,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Ireland,2018,12.16,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Ireland,2019,11,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Ireland,2020,12.54,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Ireland,2021,13.3,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Iceland,2011,7.82,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Iceland,2012,7.33,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Iceland,2013,13.77,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Iceland,2014,8.38,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Iceland,2015,5.97,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Iceland,2016,7.25,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Iceland,2017,11.47,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Iceland,2018,8.2,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Iceland,2019,6.3,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Iceland,2020,6.73,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Iceland,2021,11.83,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Italy,2011,29.1,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Italy,2012,28.7,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Italy,2013,26.61,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Italy,2014,25.07,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Italy,2015,26.85,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Italy,2016,24.81,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Italy,2017,25.39,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Italy,2018,23.67,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Italy,2019,23.52,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Italy,2020,27.48,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Italy,2021,26.38,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Liechtenstein,2011,6.81,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Liechtenstein,2012,5.33,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Liechtenstein,2014,6.28,
